City_State,City,State, Postal, Latitude, Longitude, Number of POI
Springfield_MA,Springfield,MA,1040,42.194151,-72.647266,1
Huntington_MA,Huntington,MA,1050,42.25,-72.8689,4
Leeds_MA,Leeds,MA,1053,42.351543,-72.697908,1
Leverett_MA,Leverett,MA,1054,42.46342,-72.49738,1
Ludlow_MA,Ludlow,MA,1056,42.171815,-72.459529,5
Monson_MA,Monson,MA,1057,42.113315,-72.324184,3
Northampton_MA,Northampton,MA,1060,42.323387,-72.626638,14
Florence_MA,Florence,MA,1062,42.345646,-72.677315,6
Oakham_MA,Oakham,MA,1068,42.357466,-72.046529,1
Palmer_MA,Palmer,MA,1069,42.185367,-72.341906,8
Shutesbury_MA,Shutesbury,MA,1072,42.448904,-72.429568,1
Southampton_MA,Southampton,MA,1073,42.24135,-72.72426,4
South Hadley_MA,South Hadley,MA,1075,42.24129,-72.59941,5
Southwick_MA,Southwick,MA,1077,42.061974,-72.753351,7
Wales_MA,Wales,MA,1081,42.1048,-72.3182,4
Ware_MA,Ware,MA,1082,42.2513,-72.262499,7
Warren_MA,Warren,MA,1083,42.219026,-72.189415,8
Westfield_MA,Westfield,MA,1085,42.153498,-72.728871,22
West Springfield_MA,West Springfield,MA,1089,42.10807,-72.62119,9
West Warren_MA,West Warren,MA,1092,42.190974,-72.222884,1
Whately_MA,Whately,MA,1093,42.45071,-72.60935,1
Wilbraham_MA,Wilbraham,MA,1095,42.11125,-72.443222,8
Williamsburg_MA,Williamsburg,MA,1096,42.3914,-72.73088,2
Worthington_MA,Worthington,MA,1098,42.414841,-72.938542,4
Springfield_MA,Springfield,MA,1101,42.110857,-72.571851,1
Springfield_MA,Springfield,MA,1102,42.125284,-72.529179,1
Springfield_MA,Springfield,MA,1103,42.102829,-72.585855,11
Springfield_MA,Springfield,MA,1104,42.133086,-72.573708,48
Springfield_MA,Springfield,MA,1105,42.101294,-72.580303,69
Longmeadow_MA,Longmeadow,MA,1106,42.052435,-72.566206,26
Springfield_MA,Springfield,MA,1107,42.119915,-72.61483,40
Springfield_MA,Springfield,MA,1108,42.08863,-72.558829,12
Springfield_MA,Springfield,MA,1109,42.11312,-72.56458,71
Springfield_MA,Springfield,MA,1118,42.095599,-72.514149,17
Springfield_MA,Springfield,MA,1119,42.11386,-72.511521,7
Springfield_MA,Springfield,MA,1128,42.09732,-72.4923,2
Springfield_MA,Springfield,MA,1129,42.125526,-72.484384,6
Indian Orchard_MA,Indian Orchard,MA,1151,42.154873,-72.493875,1
Springfield_MA,Springfield,MA,1151,42.15734,-72.50682,4
Pittsfield_MA,Pittsfield,MA,1201,42.45911,-73.22077,79
Adams_MA,Adams,MA,1220,42.619554,-73.12117,16
Becket_MA,Becket,MA,1223,42.3316,-73.08285,1
Cheshire_MA,Cheshire,MA,1225,42.563883,-73.158632,1
Dalton_MA,Dalton,MA,1226,42.475545,-73.176882,7
Great Barrington_MA,Great Barrington,MA,1230,42.250197,-73.328437,6
Hinsdale_MA,Hinsdale,MA,1235,42.438189,-73.122945,1
Hancock_MA,Hancock,MA,1237,42.576847,-73.299169,1
Lanesborough_MA,Lanesborough,MA,1237,42.513325,-73.220565,1
Lee_MA,Lee,MA,1238,42.307864,-73.24772,5
Lenox_MA,Lenox,MA,1240,42.35164,-73.258933,2
Great Barrington_MA,Great Barrington,MA,1244,42.12032,-73.26869,1
Monterey_MA,Monterey,MA,1245,42.178886,-73.216059,1
Clarksburg_MA,Clarksburg,MA,1247,42.718343,-73.103528,1
Florida_MA,Florida,MA,1247,42.69322,-73.03747,1
North Adams_MA,North Adams,MA,1247,42.659212,-73.105049,28
Otis_MA,Otis,MA,1253,42.207126,-73.096055,1
Richmond_MA,Richmond,MA,1254,42.38148,-73.36717,1
Savoy_MA,Savoy,MA,1256,42.56935,-72.99522,1
Sheffield_MA,Sheffield,MA,1257,42.105865,-73.374361,3
Williamstown_MA,Williamstown,MA,1267,42.671871,-73.240948,6
Greenfield_MA,Greenfield,MA,1301,42.59655,-72.621777,25
Leyden_MA,Leyden,MA,1301,42.691467,-72.627565,1
Ashfield_MA,Ashfield,MA,1330,42.508366,-72.811073,1
Athol_MA,Athol,MA,1331,42.582672,-72.204474,16
Phillipston_MA,Phillipston,MA,1331,42.548016,-72.133624,1
Bernardston_MA,Bernardston,MA,1337,42.666093,-72.561474,1
Charlemont_MA,Charlemont,MA,1339,42.626978,-72.874055,1
Colrain_MA,Colrain,MA,1340,42.67592,-72.69672,1
Conway_MA,Conway,MA,1341,42.50919,-72.67305,1
Erving_MA,Erving,MA,1344,42.589195,-72.485013,1
Heath_MA,Heath,MA,1346,42.701247,-72.829857,1
Montague_MA,Montague,MA,1351,42.5878,-72.54272,2
New Salem_MA,New Salem,MA,1355,42.5213,-72.35789,1
Northfield_MA,Northfield,MA,1360,42.68387,-72.484794,2
Orange_MA,Orange,MA,1364,42.58736,-72.30984,8
Petersham_MA,Petersham,MA,1366,42.484345,-72.191099,1
Rowe_MA,Rowe,MA,1367,42.704083,-72.888836,1
Royalston_MA,Royalston,MA,1368,42.6776,-72.1441,1
Shelburne Falls_MA,Shelburne Falls,MA,1370,42.608631,-72.735021,2
South Deerfield_MA,South Deerfield,MA,1373,42.481326,-72.605076,2
Sunderland_MA,Sunderland,MA,1375,42.46217,-72.57543,1
Turners Falls_MA,Turners Falls,MA,1376,42.597904,-72.522443,5
Gill_MA,Gill,MA,1376,42.648988,-72.497852,1
Warwick_MA,Warwick,MA,1378,42.68725,-72.336817,1
Fitchburg_MA,Fitchburg,MA,1420,42.581,-71.8215,38
Ashburnham_MA,Ashburnham,MA,1430,42.602726,-71.921152,3
Ashby_MA,Ashby,MA,1431,42.67886,-71.82327,1
Ayer_MA,Ayer,MA,1432,42.566732,-71.579514,6
Devens_MA,Devens,MA,1434,42.548649,-71.606549,1
Baldwinville_MA,Baldwinville,MA,1436,42.60504,-72.07517,3
East Templeton_MA,East Templeton,MA,1438,42.560727,-72.039704,1
Gardner_MA,Gardner,MA,1440,42.574042,-71.982409,21
Groton_MA,Groton,MA,1450,42.617216,-71.579041,8
Harvard_MA,Harvard,MA,1451,42.49745,-71.584918,2
Hubbardston_MA,Hubbardston,MA,1452,42.474321,-72.007956,5
Leominster_MA,Leominster,MA,1453,42.521975,-71.76498,23
Littleton_MA,Littleton,MA,1460,42.541428,-71.507586,13
Lunenburg_MA,Lunenburg,MA,1462,42.597466,-71.718727,4
Pepperell_MA,Pepperell,MA,1463,42.673864,-71.591346,4
Shirley_MA,Shirley,MA,1464,42.539764,-71.65731,4
Templeton_MA,Templeton,MA,1468,42.55394,-72.067144,1
Townsend_MA,Townsend,MA,1469,42.67007,-71.713,9
Westminster_MA,Westminster,MA,1473,42.52865,-71.875827,2
Winchendon_MA,Winchendon,MA,1475,42.683963,-72.052057,6
Auburn_MA,Auburn,MA,1501,42.208352,-71.836883,10
Berlin_MA,Berlin,MA,1503,42.381169,-71.639627,4
Blackstone_MA,Blackstone,MA,1504,42.029986,-71.538207,7
Boylston_MA,Boylston,MA,1505,42.370958,-71.721404,2
Brookfield_MA,Brookfield,MA,1506,42.214013,-72.097119,1
Charlton_MA,Charlton,MA,1507,42.132045,-71.971592,4
Clinton_MA,Clinton,MA,1510,42.408234,-71.701043,7
East Brookfield_MA,East Brookfield,MA,1515,42.232587,-72.037048,1
Douglas_MA,Douglas,MA,1516,42.06759,-71.69996,7
Fiskdale_MA,Fiskdale,MA,1518,42.16059,-72.127468,6
Grafton_MA,Grafton,MA,1519,42.211611,-71.694732,6
Holden_MA,Holden,MA,1520,42.337435,-71.851342,8
Holland_MA,Holland,MA,1521,42.06547,-72.1599,1
Jefferson_MA,Jefferson,MA,1522,42.363029,-71.888263,1
Lancaster_MA,Lancaster,MA,1523,42.46824,-71.67529,2
Leicester_MA,Leicester,MA,1524,42.223142,-71.912188,4
Millbury_MA,Millbury,MA,1527,42.188061,-71.772927,3
Millville_MA,Millville,MA,1529,42.033396,-71.577508,4
New Braintree_MA,New Braintree,MA,1531,42.317467,-72.121958,1
Northborough_MA,Northborough,MA,1532,42.32424,-71.64786,11
Northbridge_MA,Northbridge,MA,1534,42.154114,-71.649238,9
North Brookfield_MA,North Brookfield,MA,1535,42.278864,-72.079811,5
North Grafton_MA,North Grafton,MA,1536,42.238383,-71.702221,1
Oxford_MA,Oxford,MA,1540,42.107295,-71.870035,7
Princeton_MA,Princeton,MA,1541,42.44243,-71.84371,1
Rutland_MA,Rutland,MA,1543,42.369864,-71.954661,6
Shrewsbury_MA,Shrewsbury,MA,1545,42.283845,-71.693335,10
Southbridge_MA,Southbridge,MA,1550,42.08121,-72.022706,12
South Grafton_MA,South Grafton,MA,1560,42.179341,-71.695087,1
Spencer_MA,Spencer,MA,1562,42.24149,-71.98406,5
Sterling_MA,Sterling,MA,1564,42.41217,-71.777055,2
